Game Name~Release Date~GB_ReleaseDate~AppId~Url
Company of Heroes 2 - Southern Fronts Mission Pack~Dec 10, 2013~#NEED_DATA~260290~http://store.steampowered.com/app/260290
Binary Domain Demo~Apr 27, 2012~#NEED_DATA~210310~http://store.steampowered.com/app/210310
Munin~Jun 10, 2014~#NEED_DATA~281750~http://store.steampowered.com/app/281750
99 Levels To Hell~Feb 19, 2014~#NEED_DATA~264280~http://store.steampowered.com/app/264280
Rime Berta~Dec 16, 2014~#NEED_DATA~312600~http://store.steampowered.com/app/312600
Half-Life: Blue Shift~Jun 1, 2001~2001-06-12~130~http://store.steampowered.com/app/130
NEKOPARA Vol. 1 Demo~Dec 29, 2014~#NEED_DATA~334660~http://store.steampowered.com/app/334660
Global Outbreak: Doomsday Edition~Aug 11, 2014~#NEED_DATA~264260~http://store.steampowered.com/app/264260
Just Cause 2: Black Market Boom Pack DLC~May 25, 2010~#NEED_DATA~35102~http://store.steampowered.com/app/35102
Locoland~Nov 22, 2003~#NEED_DATA~352130~http://store.steampowered.com/app/352130
Zombie Panic Source~Dec 28, 2007~#NOT_FOUND~17500~http://store.steampowered.com/app/17500
Company of Heroes 2 - The Western Front Armies _MARKETING PAGE~Jun 23, 2014~#NEED_DATA~260309~http://store.steampowered.com/app/260309
Just Cause 2: Black Market Aerial Pack DLC~Apr 29, 2010~#NEED_DATA~35101~http://store.steampowered.com/app/35101
Just Cause 2: Monster Truck DLC~Jun 22, 2010~#NEED_DATA~35091~http://store.steampowered.com/app/35091
Just Cause 2: Agency Hovercraft DLC~Jun 22, 2010~#NEED_DATA~35090~http://store.steampowered.com/app/35090
Just Cause 2: Chevalier Classic DLC~Jun 22, 2010~#NEED_DATA~35089~http://store.steampowered.com/app/35089
Finders~Aug 15, 2013~#NEED_DATA~352140~http://store.steampowered.com/app/352140
Black Ice Demo~Jul 9, 2014~#NEED_DATA~312590~http://store.steampowered.com/app/312590
StarMade~Nov 27, 2014~#NEED_DATA~244770~http://store.steampowered.com/app/244770
FSX: Steam Edition - Oban Airport (EGEO) Add-On~Jun 2, 2015~#NEED_DATA~352182~http://store.steampowered.com/app/352182
FSX: Steam Edition - Stornoway Airport (EGPO) Add-On~Jun 23, 2015~#NEED_DATA~352183~http://store.steampowered.com/app/352183
Ilamentia~Nov 25, 2014~#NEED_DATA~334710~http://store.steampowered.com/app/334710
A New Beginning - Final Cut~Dec 11, 2012~#NOT_FOUND~105000~http://store.steampowered.com/app/105000
Super Motherload Soundtrack~Nov 15, 2013~#NEED_DATA~281780~http://store.steampowered.com/app/281780
OTTTD~Aug 6, 2014~#NEED_DATA~312630~http://store.steampowered.com/app/312630
Organ Biker~Jun 1, 2015~#NEED_DATA~365310~http://store.steampowered.com/app/365310
Sacred 2 Gold~Dec 21, 2012~#NEED_DATA~225640~http://store.steampowered.com/app/225640
Flockers~Sep 19, 2014~#NEED_DATA~260330~http://store.steampowered.com/app/260330
Spirit Of War~Mar 12, 2015~#NEED_DATA~352190~http://store.steampowered.com/app/352190
Age of Chivalry~Dec 1, 2007~2007-12-01~17510~http://store.steampowered.com/app/17510
Just Cause 2 Demo~Mar 23, 2010~#NEED_DATA~35110~http://store.steampowered.com/app/35110
D.I.P.R.I.P. Warm Up~Mar 18, 2008~2008-03-18~17530~http://store.steampowered.com/app/17530
METAL SLUG X~Oct 2, 2014~#NEED_DATA~312610~http://store.steampowered.com/app/312610
Lara Croft and the Guardian of Light~Sep 28, 2010~#NEED_DATA~35130~http://store.steampowered.com/app/35130
Curse of Mermos~Jun 23, 2015~#NEED_DATA~352160~http://store.steampowered.com/app/352160
Lara Croft GoL: Raziel and Kain Character Pack~Jan 7, 2011~#NEED_DATA~35135~http://store.steampowered.com/app/35135
Squirreltopia~Jan 12, 2015~#NEED_DATA~334690~http://store.steampowered.com/app/334690
Alexia Crow~May 4, 2015~#NEED_DATA~365280~http://store.steampowered.com/app/365280
Blackguards: Untold Legends~Mar 4, 2014~#NEED_DATA~281770~http://store.steampowered.com/app/281770
Synergy~Sep 1, 2005~2005-09-01~17520~http://store.steampowered.com/app/17520
House of Nightmares B-Movie Edition~Apr 19, 2015~#NEED_DATA~365290~http://store.steampowered.com/app/365290
Guns'N'Zombies~Oct 30, 2014~#NEED_DATA~264300~http://store.steampowered.com/app/264300
MadOut~Jun 6, 2015~#NEED_DATA~352170~http://store.steampowered.com/app/352170
Little Cells~Jun 4, 2015~#NEED_DATA~352210~http://store.steampowered.com/app/352210
Lara Croft and the Guardian of Light Demo~Sep 28, 2010~#NEED_DATA~35150~http://store.steampowered.com/app/35150
City of Steam - Solid Gold Bundle~Mar 6, 2014~#NEED_DATA~281812~http://store.steampowered.com/app/281812
Worms Ultimate Mayhem~Sep 28, 2011~#NEED_DATA~70600~http://store.steampowered.com/app/70600
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™~Jun 25, 2014~#NEED_DATA~260230~http://store.steampowered.com/app/260230
City of Steam - Purple Bundle~Mar 6, 2014~#NEED_DATA~281810~http://store.steampowered.com/app/281810
City of Steam - Orange Bundle~Mar 6, 2014~#NEED_DATA~281811~http://store.steampowered.com/app/281811
Explodemon~Nov 3, 2011~#NEED_DATA~281820~http://store.steampowered.com/app/281820
Mr. Bree+~Nov 26, 2013~#NEED_DATA~264220~http://store.steampowered.com/app/264220
Batman: Arkham Asylum GOTY Edition~Mar 26, 2010~#NEED_DATA~35140~http://store.steampowered.com/app/35140
Hollywood Visionary~May 1, 2015~#NEED_DATA~365210~http://store.steampowered.com/app/365210
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3~Jan 7, 2011~#NEED_DATA~35138~http://store.steampowered.com/app/35138
Lara Croft GoL: All the Trappings - Challenge Pack 1~Jan 7, 2011~#NEED_DATA~35136~http://store.steampowered.com/app/35136
Foul Play~Sep 18, 2013~#NEED_DATA~244810~http://store.steampowered.com/app/244810
Mirror's Edge~Jan 13, 2009~2010-04-01~17410~http://store.steampowered.com/app/17410
Lara Croft GoL: Things that Go Boom - Challenge Pack 2~Jan 7, 2011~#NEED_DATA~35137~http://store.steampowered.com/app/35137
Soccertron~Mar 12, 2015~#NEED_DATA~334620~http://store.steampowered.com/app/334620
Adam's Venture Episode 2: Solomon's Secret~Apr 8, 2011~#NEED_DATA~210390~http://store.steampowered.com/app/210390
Half-Life 2~Nov 16, 2004~2004-11-16~220~http://store.steampowered.com/app/220
Worms Ultimate Mayhem - Multi Player Pack~Jan 9, 2013~#NEED_DATA~70616~http://store.steampowered.com/app/70616
Worms Ultimate Mayhem - Customization Pack DLC~Jan 9, 2013~#NEED_DATA~70617~http://store.steampowered.com/app/70617
Worms Crazy Golf~Oct 19, 2011~#NEED_DATA~70620~http://store.steampowered.com/app/70620
Power-Up~Feb 27, 2014~#NEED_DATA~312640~http://store.steampowered.com/app/312640
Half-Life 2: Demo~Nov 16, 2004~#NOT_FOUND~219~http://store.steampowered.com/app/219
Lethal Tactics~May 20, 2015~#NEED_DATA~365190~http://store.steampowered.com/app/365190
Pitiri 1977 Demo~Dec 8, 2014~#NEED_DATA~334600~http://store.steampowered.com/app/334600
Wing IDE 5~Apr 30, 2014~#NEED_DATA~244830~http://store.steampowered.com/app/244830
Need for Speed: Undercover~Nov 18, 2008~2008-11-18~17430~http://store.steampowered.com/app/17430
One Finger Death Punch~Mar 3, 2014~#NEED_DATA~264200~http://store.steampowered.com/app/264200
Worms Ultimate Mayhem - Single Player Pack~Jan 9, 2013~#NEED_DATA~70615~http://store.steampowered.com/app/70615
Blood of the Werewolf~May 9, 2014~#NEED_DATA~260250~http://store.steampowered.com/app/260250
